sample	id
1	e5e2818d-8495-489a-96cc-c0ee263fd237
2	06978bd9-2351-469d-9f5d-a0850531c030
3	83f02f8c-ce2e-46a2-8a17-c135141ce6e7
4	ce8b937a-1435-45a8-b2f8-b13f644cef38
5	ed1aa4cb-b5af-4918-8a8c-b02242d8e964
6	530331e9-b752-4d55-b568-207668665b66
7	bdccb850-ad29-4033-97d0-05149dafe317
8	81cb96f6-ddbb-4bb3-a5d9-11ad03d4778f
9	e2793afe-8c1e-432c-be25-4d76e0f9025d
10	c73e115f-3bd6-4906-af46-94a8d322030a
11	978ab49a-fd6f-4ec5-8ac6-1b7695a90eab
12	0d3b914b-06ad-4a3d-a334-7d30332d78d1
13	8ef325f5-0bff-46d6-aa01-fbac11012ad3
14	bd5a3689-7077-4c67-8036-adf5244c8b62
15	ca0a0049-f435-4827-95f1-2b2eae143884
16	a4d97f1d-5501-431e-b5ee-22cd3f81860e
17	d3a0cac8-bef5-4727-9f96-0812ebe43849
18	5e78bc4b-dc24-4bc2-8cf9-96b0ad5d3aa1
19	138363b3-2509-493c-93c2-1b365e094c07
20	628dea16-0989-47f2-8d0e-cd9dc6e55471
