Time	Platform
339.8333333333333	"GCP
N1
16"
344.23333333333335	"GCP
N1
16"
353.53333333333336	"GCP
N1
16"
334.3	"GCP
N1
16"
379.68333333333334	"GCP
N1
16"
358.4	"GCP
N1
16"
350.71666666666664	"GCP
N1
16"
389.98333333333335	"GCP
N1
16"
343.3333333333333	"GCP
N1
16"
330.28333333333336	"GCP
N1
16"
334.1	"GCP
N1
16"
347.6166666666667	"GCP
N1
16"
346.15	"GCP
N1
16"
341.8833333333333	"GCP
N1
16"
354.06666666666666	"GCP
N1
16"
340.1166666666667	"GCP
N1
16"
325.75	"GCP
N1
16"
334.9166666666667	"GCP
N1
16"
330.03333333333336	"GCP
N1
16"
323.6166666666667	"GCP
N1
16"
181.45	"GCP
N1
32"
183.15	"GCP
N1
32"
181.9	"GCP
N1
32"
171.61666666666667	"GCP
N1
32"
185.23333333333332	"GCP
N1
32"
183.45	"GCP
N1
32"
172.1	"GCP
N1
32"
183.85	"GCP
N1
32"
175.5	"GCP
N1
32"
193.86666666666667	"GCP
N1
32"
176.85	"GCP
N1
32"
179.45	"GCP
N1
32"
174.5	"GCP
N1
32"
178.05	"GCP
N1
32"
193.73333333333332	"GCP
N1
32"
179.95	"GCP
N1
32"
175.36666666666667	"GCP
N1
32"
187.55	"GCP
N1
32"
181.41666666666666	"GCP
N1
32"
179.23333333333332	"GCP
N1
32"
119.05	"GCP
N1
64"
115.55	"GCP
N1
64"
120.2	"GCP
N1
64"
112.78333333333333	"GCP
N1
64"
134.48333333333332	"GCP
N1
64"
120.38333333333334	"GCP
N1
64"
130.9	"GCP
N1
64"
120.16666666666667	"GCP
N1
64"
129.01666666666668	"GCP
N1
64"
114.35	"GCP
N1
64"
117.76666666666667	"GCP
N1
64"
117.6	"GCP
N1
64"
122.6	"GCP
N1
64"
116.61666666666666	"GCP
N1
64"
122.9	"GCP
N1
64"
119.53333333333333	"GCP
N1
64"
114.08333333333333	"GCP
N1
64"
117.88333333333334	"GCP
N1
64"
116.61666666666666	"GCP
N1
64"
116.36666666666666	"GCP
N1
64"
289.53333333333336	"GCP
N2
16"
290.43333333333334	"GCP
N2
16"
297.9166666666667	"GCP
N2
16"
288.68333333333334	"GCP
N2
16"
305.18333333333334	"GCP
N2
16"
303.4166666666667	"GCP
N2
16"
293.15	"GCP
N2
16"
302.6166666666667	"GCP
N2
16"
292.76666666666665	"GCP
N2
16"
285.28333333333336	"GCP
N2
16"
292.96666666666664	"GCP
N2
16"
296.6333333333333	"GCP
N2
16"
296.73333333333335	"GCP
N2
16"
303.3833333333333	"GCP
N2
16"
308.75	"GCP
N2
16"
305.73333333333335	"GCP
N2
16"
282.1333333333333	"GCP
N2
16"
306.56666666666666	"GCP
N2
16"
285.0	"GCP
N2
16"
287.93333333333334	"GCP
N2
16"
158.43333333333334	"GCP
N2
32"
158.31666666666666	"GCP
N2
32"
162.6	"GCP
N2
32"
148.85	"GCP
N2
32"
168.11666666666667	"GCP
N2
32"
165.23333333333332	"GCP
N2
32"
161.9	"GCP
N2
32"
155.9	"GCP
N2
32"
158.7	"GCP
N2
32"
154.95	"GCP
N2
32"
160.35	"GCP
N2
32"
160.28333333333333	"GCP
N2
32"
160.68333333333334	"GCP
N2
32"
160.38333333333333	"GCP
N2
32"
165.61666666666667	"GCP
N2
32"
178.25	"GCP
N2
32"
154.03333333333333	"GCP
N2
32"
162.6	"GCP
N2
32"
154.78333333333333	"GCP
N2
32"
157.68333333333334	"GCP
N2
32"
104.56666666666666	"GCP
N2
64"
104.2	"GCP
N2
64"
105.85	"GCP
N2
64"
103.25	"GCP
N2
64"
110.58333333333333	"GCP
N2
64"
108.73333333333333	"GCP
N2
64"
105.11666666666666	"GCP
N2
64"
107.26666666666667	"GCP
N2
64"
104.73333333333333	"GCP
N2
64"
101.93333333333334	"GCP
N2
64"
105.23333333333333	"GCP
N2
64"
108.41666666666667	"GCP
N2
64"
105.51666666666667	"GCP
N2
64"
104.26666666666667	"GCP
N2
64"
109.06666666666666	"GCP
N2
64"
107.6	"GCP
N2
64"
102.65	"GCP
N2
64"
106.41666666666667	"GCP
N2
64"
103.53333333333333	"GCP
N2
64"
103.5	"GCP
N2
64"
