sample	id
1	d7f8467f-c8bc-4307-ac7c-50c3a7cd3331
2	3a9a4875-90d3-4a1c-ac45-1b498c284be1
3	afbacc22-483d-42d6-a541-7a37069c461c
4	5723f0a5-afcf-4260-b4db-a27429cacd29
5	83fbb95d-0a62-4b71-b5bc-311bb45aaa17
6	ca4e62fd-a952-43c2-b9a9-68db2a594fc6
7	07120326-e7c9-44af-bc4f-84daf2e1e8ab
8	010a8d97-5df0-4862-b41b-3af9177dc78e
9	5a36f68d-e5a5-4924-99ca-aee1f620a2ff
10	45f8fc48-9ce7-44bf-9758-16be5f58aefd
11	5110b7e4-20d6-4e65-89e2-c58bc25785d9
12	39bc1bab-6a9c-4d14-a65d-4c53a62141ef
13	23337a1e-c9d9-482e-9799-4374ad54285d
14	10d0563c-6d43-47b8-84bf-caa7bd4c773b
15	5fca2edb-2de5-4fb7-a1bb-8a02d1e7143e
16	b2dc850a-0b2d-4cb4-bbf4-2a02c384d687
17	b7ad4e17-7321-44f5-b8d5-e21d977c4c9d
18	0c2b693f-9085-4625-8d76-0a69abe46f69
19	19a9ccb9-df67-46f1-ae43-6b9090bf19c7
20	a10a64d6-d7ac-40f1-948b-80643edd4882
